Date,Todate,Days,Chik_pos,Test_delay,Age_avg,Male_per,Emp_stat_yes,lat_avg,long_avg,Com_yes,WS2M,T2M,T2MDEW,RH2M,PRECTOTCORR
10/19/2024,12/11/2024,53,2,2,51,100,100,23.8006472,90.4178211,50,0.8,27.72,24.08,80.94,2.17
10/24/2024,12/11/2024,48,1,2,45,100,100,23.7285918,90.38543,0,3.11,25.69,23.94,90.44,2.34
10/26/2024,12/11/2024,46,1,2,39,100,100,23.7566389,90.4643906,100,1.75,26.93,24.05,84.62,2.84
10/31/2024,12/11/2024,41,1,2,39,100,100,23.7566389,90.4643906,0,0.6,27.8,24.04,80.06,1.45
11/7/2024,12/11/2024,34,1,2,49,0,0,23.7016579,90.4443409,0,1.2,24.59,21.19,82.38,0.39
11/10/2024,12/11/2024,31,3,5,52,100,100,23.74188813,90.41803407,50,1.1,24.13,19.73,77.88,0.01
11/11/2024,12/11/2024,30,3,4,36,66.66666667,33.33333333,23.8431555,90.38827613,33.33333333,1.08,24.62,20.13,77.38,0
11/12/2024,12/11/2024,29,5,5,49,60,80,23.75560648,90.43013194,40,1.19,24.49,19.82,76.19,0.03
11/13/2024,12/11/2024,28,5,3,54,80,60,23.73901246,90.43833012,100,1.46,23.18,17.31,71.38,0
11/14/2024,12/11/2024,27,6,3,37,100,60,23.78883855,90.42912513,66.66666667,1.52,22.65,17.92,76.5,0
11/17/2024,12/11/2024,24,2,2,44,0,0,23.74962165,90.4475871,0,1.08,21.68,16.55,74.5,0
11/18/2024,12/11/2024,23,3,3,39,33.33333333,33.33333333,23.7506123,90.42539213,33.33333333,0.97,22.05,16.3,71.06,0
11/19/2024,12/11/2024,22,2,3,38,50,50,23.74110205,90.43549965,100,0.77,22.69,15.55,66.12,0
11/20/2024,12/11/2024,21,5,2,54,80,80,23.78110254,90.4080447,60,1.03,21.68,15,66.94,0
11/21/2024,12/11/2024,20,5,3,44,40,60,23.78790806,90.39503064,80,1.02,21.58,15.06,67.69,0
11/24/2024,12/11/2024,17,5,4,31,40,20,23.78573864,90.42914346,60,1.2,21.19,16.35,75.25,0.03
11/25/2024,12/11/2024,16,2,3,51,100,50,23.7917871,90.3930932,100,1.32,20.98,15.92,74.5,0
11/26/2024,12/11/2024,15,3,3,52,100,66.66666667,23.75178437,90.42745273,100,0.77,21.1,15.26,71.75,0
11/27/2024,12/11/2024,14,6,4,51,33.33333333,33.33333333,23.75047165,90.43329593,66.66666667,1.23,21.09,15.52,71.94,0
11/28/2024,12/11/2024,13,2,3,46,50,50,23.6907907,90.41248165,0,1.22,21.85,16.48,73.75,0
12/1/2024,12/11/2024,10,7,3,44,71.42857143,57.14285714,23.75920716,90.42865326,42.85714286,1.23,21.52,14.78,67.56,0.15
12/2/2024,12/11/2024,9,2,3,57,50,50,23.73362455,90.4496499,50,1.42,20.62,14.65,71.06,0
12/3/2024,12/11/2024,8,1,2,24,100,100,23.7777571,90.4057408,0,1.62,20.52,15.24,73.62,0
12/4/2024,12/11/2024,7,6,3,43,66.66666667,50,23.7598829,90.41145073,66.66666667,1.83,19.43,14.29,74.38,0
12/5/2024,12/11/2024,6,9,2,43,100,77.77777778,23.75671851,90.40028583,33.33333333,1.38,19.16,13.33,71.62,0
12/8/2024,12/11/2024,3,11,2,45,54.54545455,54.54545455,23.78709792,90.41002267,45.45454545,0.88,18.67,11.3,64.94,0
12/9/2024,12/11/2024,2,4,3,42,25,75,23.77462138,90.39164723,75,0.95,18.74,13.43,73,0.06
12/10/2024,12/11/2024,1,8,3,33,37.5,25,23.75732184,90.43425141,50,1.57,19.22,13.67,71.94,0.04
12/11/2024,12/11/2024,0,1,1,36,0,0,23.7461495,90.3742307,100,1.98,17.33,11.44,71.75,0
